idUsuario;timestamp;br;km;tipoAlerta
1429;1715404256;280;454.3;A
1451;1708965383;283;97.3;E
1599;1722234882;120;564.2;F
1111;1720232195;242;1764.6;C
588;1732232834;272;666.5;B
3868;1729090786;146;505.5;D
4129;1731592765;122;1663.7;D
817;1712107283;153;2103.5;E
1468;1734085118;287;227.2;C
4050;1709421776;154;419.0;D
4144;1713967683;242;1317.8;F
2880;1729887261;120;564.0;E
3560;1715064161;272;666.6;E
2468;1706324283;146;506.0;C
4477;1719834827;285;59.8;D
3618;1709929687;154;373.0;B
688;1724503777;242;1317.6;A
2561;1710100351;153;2827.6;F
636;1716100373;104;46.8;B
1355;1717861258;154;344.5;D
2634;1721183394;232;83.4;A
2621;1712071371;282;645.3;C
2354;1722900578;174;801.2;E
510;1730020860;154;58.6;D
4491;1708545141;265;736.0;A
1180;1728309179;290;444.5;E
339;1716803789;163;2922.1;D
1162;1727199739;154;207.0;F
1685;1716360410;265;736.3;F
641;1730447448;154;466.5;E
56;1709657120;290;642.1;A
932;1704617998;282;506.8;F
2059;1711401894;222;622.9;E
2749;1724776073;174;801.4;F
553;1709107334;283;2469.5;D
3137;1711206244;283;97.1;B
1807;1728894199;146;505.9;C
4661;1731780041;232;83.1;F
2810;1730554405;267;1628.8;C
3878;1726531574;277;631.4;F
2341;1730830063;230;3864.3;B
3807;1709780033;122;866.4;D
4853;1713821193;146;600.1;C
1562;1707632081;277;153.2;E
812;1729772114;104;46.5;A
1688;1730239954;122;1663.7;E
3566;1706118898;277;662.2;B
4973;1724070621;262;939.4;E
1229;1719292852;282;344.9;E
2840;1733867272;110;557.9;F
1856;1713430726;101;1312.1;E
2774;1723848523;265;588.5;B
4471;1724593181;154;324.2;D
3282;1714776900;163;2922.4;F
2259;1733622061;101;1312.4;D
1231;1707656431;287;227.2;E
3397;1710389193;265;113.0;F
2780;1712551817;135;1559.8;B
2064;1704661764;262;939.1;A
1404;1707347860;242;449.8;A
3352;1719078101;242;1765.0;E
3131;1723063805;116;1138.7;B
1680;1717168389;251;694.5;C
4715;1711472885;122;1251.2;A
3198;1707441390;262;382.7;D
1907;1720550856;283;128.9;A
4096;1720323233;210;270.5;F
306;1721883802;174;469.0;B
2119;1717321862;251;694.7;E
520;1729770583;280;146.7;A
770;1709077681;283;1119.3;A
128;1708157184;174;1740.4;C
2049;1704799995;135;1559.9;C
3385;1728458294;101;1312.4;A
4515;1719093762;120;564.3;A
1872;1732142765;146;505.6;E
3368;1727028856;210;278.0;E
285;1718622477;277;631.0;A
3633;1730774056;265;736.4;F
104;1724115819;287;227.4;A
383;1723874026;155;192.3;C
1433;1707386622;101;2915.3;B
1261;1706321643;110;557.6;C
2791;1724988296;163;2922.2;D
4318;1706110785;156;176.2;F
4619;1724064631;104;133.0;D
4194;1720625057;163;2922.4;D
1845;1720788821;283;128.7;C
1235;1728386658;226;1077.0;D
2494;1728157045;262;382.7;D
2154;1707100940;259;423.7;D
2556;1726625630;101;1312.0;E
1910;1704474730;262;378.6;F
293;1708511762;135;2021.2;E
3022;1707473939;210;210.0;E
2068;1711631406;232;531.4;E
4094;1730256467;259;423.6;A
2024;1729831068;242;1555.4;C
727;1732733917;242;1555.0;C
2243;1728141405;122;1791.2;B
2028;1708142243;222;622.9;C
1365;1720151736;265;353.8;F
3644;1723919986;230;3864.5;F
4057;1723834544;101;1060.1;E
2399;1728641764;153;2940.5;F
3039;1733106122;242;1722.2;D
4713;1721315804;174;469.3;B
2778;1720225282;265;736.4;B
3657;1725043051;155;237.7;E
3979;1714520542;287;109.2;C
4193;1733416410;153;2103.8;A
4032;1711359219;135;1560.0;D
4520;1725832097;120;343.6;B
2528;1731898950;272;666.7;E
1774;1710923626;272;721.3;F
2057;1719310311;232;522.7;F
2888;1725345762;135;1559.9;B
3615;1721064522;230;259.2;F
2038;1727150299;259;196.7;C
2463;1706797628;230;3864.1;A
1990;1718002199;235;1743.3;F
3260;1716840981;280;262.6;B
3942;1710913336;163;1574.2;A
4489;1730844215;230;259.0;F
154;1726502439;283;1838.8;C
3348;1708158256;262;232.0;D
2734;1717091062;267;1628.9;A
2523;1714714807;174;1509.5;C
3937;1715278519;280;454.1;F
751;1706863396;174;2902.5;F
913;1725309003;226;1077.5;E
1996;1727846520;222;623.0;F
1928;1726547471;262;1217.3;A
1888;1715123260;282;231.6;E
4971;1727386831;110;548.6;A
271;1720806076;222;338.7;E
1817;1713027403;280;388.9;D
636;1718886478;122;133.6;D
4383;1720408804;210;82.5;E
4049;1718307391;265;113.2;F
3911;1717170340;146;505.9;E
3270;1721251045;287;534.5;B
1350;1720178951;146;600.2;A
1831;1710837973;242;110.5;A
4194;1723931016;155;237.5;F
4194;1711966838;262;939.1;E
3969;1734735303;282;61.2;F
1405;1727744489;265;588.8;E
53;1716466451;283;1269.6;B
4946;1713576528;262;1296.5;F
549;1725520689;110;548.7;E
2537;1729180558;283;491.8;C
114;1704763482;290;124.1;A
798;1735014944;156;176.4;E
3260;1716337553;232;114.5;F
4872;1705875821;163;2358.5;A
4851;1721151813;277;662.2;E
4683;1717139797;280;105.7;D
4896;1707640547;280;262.7;C
1840;1718525084;116;1138.9;B
1868;1719166900;235;1190.8;B
754;1710977891;101;2915.4;E
1770;1735496748;285;533.6;E
1004;1708719363;293;250.2;F
574;1725296648;280;631.4;C
293;1723076497;235;1743.4;D
3116;1708070996;156;540.5;C
3036;1722116841;272;731.7;E
2971;1715570410;210;68.6;D
1082;1714047245;154;430.4;A
3201;1733385222;285;285.4;C
2065;1706597568;265;354.0;E
1192;1704155390;272;731.9;B
2940;1729047046;226;1077.2;A
1626;1716623743;155;255.4;E
3620;1704939974;280;631.2;F
977;1735263436;283;1676.4;C
2221;1735282758;230;1043.3;B
705;1716580871;101;1060.2;C
310;1721080518;272;731.6;E
4397;1717958185;226;1724.7;C
976;1711610517;262;1296.6;F
1714;1727602129;265;820.6;A
3325;1704087811;267;158.7;F
4580;1729400215;283;3184.0;B
567;1730531570;232;106.0;E
1342;1704913327;146;600.1;F
3243;1714834945;282;645.1;C
3911;1704704238;226;1077.4;C
2070;1719806658;285;289.2;E
4281;1714259667;259;423.8;D
4406;1729186080;285;485.8;B
1181;1718123918;156;791.3;D
1593;1723581855;210;210.2;F
3093;1720681206;101;3730.2;B
2253;1731446199;153;3228.5;A
4917;1722969228;265;51.1;A
836;1733465789;210;201.3;D
1887;1734825812;232;114.8;B
3107;1707953991;242;1317.6;D
3556;1707121915;242;1366.6;E
3430;1714818386;154;207.0;A
2515;1728295587;120;564.4;A
4527;1709740129;230;1148.6;F
1786;1714510226;287;109.3;F
4019;1713429217;282;249.8;E
1980;1711335508;235;321.3;F
2892;1722558568;283;2255.8;D
4310;1713974504;104;133.2;E
3051;1723017732;283;1677.5;A
3328;1718857040;154;419.9;D
3328;1734157225;222;622.7;C
2230;1711671021;283;1676.4;D
3455;1728088492;259;423.7;E
2731;1721051661;222;1062.1;A
4253;1732495603;262;382.9;C
4542;1723051674;272;8.8;E
691;1727569852;226;1724.9;F
4163;1705920108;277;277.0;D
883;1716740883;155;192.2;E
1924;1714045272;122;937.1;A
89;1707154469;154;432.2;C
226;1721605931;226;1365.8;E
4575;1733122912;210;278.3;C
2716;1719745822;293;446.6;C
4000;1724858215;146;505.5;E
3984;1704677806;290;102.7;A
2365;1705935186;232;106.1;B
2791;1706742647;283;97.2;E
2180;1704295721;287;422.7;A
4085;1733775688;116;3744.7;F
3106;1735517378;174;1175.9;A
649;1730747667;259;196.6;F
4470;1717782903;154;173.8;D
2586;1718803406;230;1885.0;D
1343;1735641461;232;531.4;F
4993;1728056722;251;695.0;D
2094;1713812265;287;52.3;E
1114;1713617759;174;1330.9;E
4875;1713991549;122;1293.6;C
4214;1720537121;226;415.4;E
3799;1712141044;259;343.7;E
1268;1705640339;242;1865.6;E
605;1723055776;104;443.0;C
816;1710105331;280;268.1;F
206;1706634015;120;720.8;D
295;1704729259;104;374.9;C
3878;1714754977;156;710.0;E
266;1706047562;226;1077.2;A
1373;1717774850;135;2021.4;B
1153;1706764574;116;4081.6;A
3274;1729792086;158;2090.9;A
3877;1730392011;262;498.1;C
2841;1709511343;226;415.1;F
1833;1721204291;154;367.7;A
423;1728321774;242;242.7;A
1899;1734412089;135;2021.0;E
3047;1730937883;277;270.4;A
1782;1709409007;267;1361.4;D
3099;1713001504;282;377.3;B
3191;1717859584;226;415.4;F
3474;1718015320;122;862.4;E
2262;1709675398;285;206.1;A
3530;1712132852;259;313.1;D
164;1715680259;285;289.4;B
3045;1733674142;242;177.4;A
3473;1704616976;259;197.0;B
1369;1725986641;277;554.2;A
3407;1720234966;293;446.7;E
4398;1720610504;210;82.6;D
4338;1733983036;265;475.6;E
2673;1728633201;242;1454.5;B
4673;1724035361;155;192.4;B
2279;1732917793;283;2020.5;D
769;1731616885;122;1315.2;A
2647;1716699198;282;43.6;B
4893;1715378097;101;2915.4;E
3907;1718272537;101;1060.3;D
3120;1719125270;283;196.6;C
1333;1730704618;285;534.0;B
4643;1723129439;163;1590.0;B
3340;1707938566;122;638.5;D
1401;1732396913;154;155.2;D
3461;1721079979;154;432.4;D
4447;1716295773;293;339.3;F
2912;1717751375;110;609.4;C
341;1732354192;259;303.2;A
643;1708615755;232;114.9;F
2219;1715226122;290;80.1;B
741;1728379418;163;2922.4;C
1154;1715119286;283;2516.8;E
2119;1727389810;163;1574.5;E
157;1731130960;155;154.7;C
1458;1705309232;235;1743.1;D
898;1721740095;272;627.7;C
1291;1706222344;285;462.9;D
4863;1725585795;174;1330.6;B
2000;1711224394;210;270.8;D
4152;1705645341;232;83.2;A
132;1730152378;116;4506.4;A
2423;1722473810;262;378.6;A
1935;1720739918;116;587.3;F
3342;1711303680;104;361.7;F
4052;1717297150;293;419.8;D
2963;1706892040;116;4506.0;F
725;1706019847;158;2090.6;B
1273;1733475581;210;68.8;D
3726;1728723102;156;517.8;A
4644;1723978662;265;801.6;A
2626;1729142247;154;155.0;B
404;1727844235;135;346.9;C
15;1708336021;230;2002.9;D
1961;1727933239;153;1781.1;A
86;1726481721;290;564.3;B
646;1716990124;210;201.3;D
3302;1733235823;174;1175.8;E
694;1710332904;156;438.5;F
